moves,shallow,deep
5,0.013765158582089551,-1.1384122811097797e-18
6,0.021366937633262258,0.008159398320895522
7,-0.004920708955223884,-0.0024653518123667374
8,0.004389742137526655,-0.0038104677505330503
9,0.006175872867803838,0.0006646455223880605
10,-0.016140974813432837,-0.027534481609808103
11,-0.002018923240938164,-0.00011993603411513884
12,-0.027977995069296373,-0.03366662779850746
13,0.02626182702558635,0.025003331556503198
14,-0.005357975746268652,-0.015143173640724946
15,0.005113939232409381,0.0057544309701492505
16,-0.03974588552771855,-0.042653501465884855
17,-0.010956656449893389,-0.025626332622601278
18,-0.06577283781982941,-0.0783153151652452
19,-0.020052638592750527,-0.03060284514925373
20,-0.060773420842217485,-0.06258162313432836
21,-0.014313199626865673,-0.027661913646055438
22,-0.10388043043710021,-0.11321503531449892
23,-0.06342617270788913,-0.06579157782515992
24,-0.09199635194562901,-0.0976500033315565
25,-0.06693180303837953,-0.061112406716417905
26,-0.0976500033315565,-0.09822178171641789
27,-0.03738006396588488,-0.05211054104477612
28,-0.11031949626865671,-0.09460829224413644
29,-0.018944896055437106,-0.04539745469083156
30,-0.07593450159914712,-0.08961303971215352
31,-0.03052038912579958,-0.06141890991471215
32,-0.07413129664179105,-0.1001973947228145
33,-0.05107359408315566,-0.06794542910447761
34,-0.16447144856076756,-0.19071703424840086
35,-0.10019822761194028,-0.14202425373134328
36,-0.15280392124200426,-0.211062016924307
37,-0.05630080623667379,-0.07553471481876332
38,-0.10212470015991472,-0.10488114672174839
39,-0.006008462153518114,-0.03769073160980811
40,-0.11954374333688698,-0.12279617537313431
41,-0.08805387126865671,-0.10471248667377399
42,-0.11552005597014925,-0.12425164912046907
43,-0.03312566631130063,-0.057555137260127925
44,-0.09441547841151385,-0.08993495135927504
45,-0.05747268123667376,-0.04790445095948827
46,-0.10941664445628997,-0.09621118736673771
47,-0.04602878464818763,-0.06256996268656716
48,-0.08697444696162046,-0.07466059768123667
49,-0.0013701026119402934,-0.01281816364605543
50,-0.05165703291577824,-0.06721665111940299
51,-0.01958455490405117,-0.036210687633262253
52,-0.07913487806503196,-0.07600821228678037
53,0.01731992937100214,0.0033548773987206945
54,-0.045780167244136444,-0.08205165578358205
55,0.08076359275053306,0.10244786114072495
56,-0.08971548507462684,-0.0857342750533049
57,0.00745435767590619,0.08498467484008529
58,-0.08752748534115136,-0.057929104477611924
59,0.061295642324093826,0.11157632595948828
60,-0.05574235407782515,-0.01930761926972281
61,0.09047757862473349,1
62,-0.07987156849680169,0
63,0,0
64,0,0
5,0.013765158582089551,0.0
6,0.021366937633262258,0.008159398320895518
7,0.02553638059701492,0.017574793443496804
8,0.013541527851812368,0.010444429637526651
9,0.02570045975479744,0.030108941897654583
10,0.033090684968017064,0.02059235074626866
11,0.012819829424307034,0.01913729344349681
12,0.005371301972281452,0.004926539179104482
13,0.049000533049040514,0.038629397654584216
14,0.02346956623134329,0.01865421775053304
15,0.03068363539445628,0.02805753598081024
16,-0.0273425006663113,-0.02002931769722814
17,0.008710354477611936,0.008836953624733478
18,-0.06756688099680169,-0.07059818097014925
19,-0.008673707356076763,-0.0003906249999999986
20,-0.04533707022921108,-0.055427521988272915
21,-0.005066464552238808,-0.007880796908315568
22,-0.07332089552238806,-0.07488339552238807
23,-0.005225546375266524,-0.004498434168443501
24,-0.06398170975479743,-0.06475962819829424
25,-0.0016407915778251583,0.0017640591684434954
26,-0.0892523987206823,-0.09194263059701493
27,-0.05288679371002131,-0.056594816098081036
28,-0.08501049440298508,-0.0886839518923241
29,-0.03655716950959488,-0.05361307302771855
30,-0.06078757995735608,-0.07820828891257994
31,-0.018017057569296367,-0.009168443496801706
32,-0.12043909914712153,-0.10327033915245203
33,-0.03272504664179104,-0.03131996268656716
34,-0.09750049973347547,-0.091614055836887
35,-0.024976679104477616,-0.02267790511727078
36,-0.09040220215884862,-0.10691589485607675
37,-0.00960487739872068,0.0059085154584221766
38,-0.06881038446162047,-0.06891407915778251
39,0.004529251066098073,0.0087869802771855
40,-0.06572036580490404,-0.07332381063432834
41,0.012172674573560766,0.004507595948827294
42,-0.08179221082089552,-0.062082722547974395
43,0.007807502665245202,0.005512893123667382
44,-0.04937075226545842,-0.048976379264392314
45,0.07569546242004263,0.08339052505330491
46,-0.02888126332622601,-0.018529284381663114
47,0.037978078358208954,0.061065764925373134
48,-0.064419809434968,-0.04343058702025586
49,-2.9151119402982123e-05,0.040739938699360344
50,-0.019367587286780383,0.0008395522388059684
51,0.06995435767590617,0.0749658515458422
52,-0.014271971615138589,0.004354760794243064
53,0.08464735474413645,0.09091484541577824
54,-0.02036913646055437,-0.013045125932835827
55,0.05185401119402985,0.06942214152452023
56,0.005876865671641789,0.033797391391257973
57,0.07188749333688697,0.08313566098081024
58,-0.022057819163113012,0.026362190165245183
59,0.1024803438166311,0.07712719882729209
60,0.01841601146055437,0.029778284914712145
61,0.1160022987739872,1
62,-0.038005980143923236,1
63,1,1
64,1,1
5,0.013765158582089551,0.0
6,0.024362006929637525,-0.006191697761194028
7,-0.018983208955223884,-0.018886593816631134
8,-0.006191697761194028,-0.004223580756929635
9,0.0034365005330490375,0.001784048507462686
10,-0.011406833022388058,-0.0066651952292110855
11,0.002823494136460554,0.011518023720682304
12,-0.0008424673507462718,-0.008074860074626867
13,0.018817464019189767,0.023022721215351816
14,-0.008681203358208954,-0.0037176006130063997
15,0.08290578358208955,0.0699368670042644
16,0.040765341817697226,0.040701209355010655
17,0.07189082489339019,0.0587903118336887
18,0.028812966417910448,0.010202475346481867
19,0.07217650586353944,0.07525069962686567
20,0.03570928837953092,0.029440131929637528
21,0.07017257462686566,0.08402851812366736
22,0.01839602212153518,0.01849888392857143
23,0.036910314498933894,0.04325692963752664
24,0.02347414712153518,0.027373317563965882
25,0.08785647654584221,0.08938232942430703
26,0.057837070229211085,0.05870452425373134
27,0.09515924840085287,0.10392457356076758
28,0.03316231343283582,0.061815365138592746
29,0.09079990671641791,0.0994253065031983
30,0.013444496268656712,0.04252107209488272
31,0.07177005597014927,0.0752165511727079
32,0.04311617137526652,0.037978911247334754
33,0.11158798640724946,0.10760261194029849
34,0.033508378864605545,0.027347914445628993
35,0.09544076492537312,0.09826342617270788
36,0.008940231876332617,0.01236965285181236
37,0.1204657515991471,0.12786513859275053
38,-0.0210929171108742,0.0077208821961620485
39,0.06919642857142856,0.06318047041577825
40,-0.03935775919509595,0.002737290111940297
41,0.06456306636460554,0.05888026385927505
42,-0.02781891324626866,-0.00666144722814499
43,0.1220199227078891,0.12621601812366737
44,0.0063203791311300505,0.021543093683368864
45,0.09425473081023451,0.08395688965884861
46,0.0050364805437100105,0.03274670175906182
47,0.07903284914712153,0.0865030317164179
48,0.0005622001599146983,0.020209221748400837
49,0.0960762593283582,0.08803971215351812
50,0.048861440565031965,0.06542968749999999
51,0.18730177238805967,0.20550706289978676
52,0.14948943896588482,0.1380168077025586
53,0.18015558368869933,0.20256696428571427
54,0.1380168077025586,0.17792094216417909
55,0.2044409648187633,0.2783332222814499
56,0.07836112406716417,0.10757762526652452
57,0.154292710554371,0.19868403518123665
58,0.13789312366737738,0.17053529784115135
59,0.18101845682302767,0.20953824626865672
60,0.09994961020788912,0.11524478611407249
61,0.17120868869936032,1
62,0.1529038679371002,1
63,1,1
64,1,1
5,0.013765158582089551,0.0
6,0.010140841551172708,0.012828991204690828
7,0.0,0.000561367270788913
8,0.014675922841151389,-0.004219416311300638
9,0.021283648720682304,0.019308035714285715
10,0.025896605143923244,0.012674906716417914
11,0.02464352345415778,0.021500199893390193
12,0.03364997001599147,0.022210237873134323
13,0.021500199893390193,0.021523520788912575
14,0.008456739738805969,-0.0006713086353944617
15,0.0035214552238805874,0.006902985074626861
16,-0.012262210154584225,-0.010092117537313441
17,0.007595115938166301,0.008542110874200419
18,-0.012669909381663114,-0.009879730810234539
19,0.013714352345415775,0.01911730410447761
20,-0.035066297974413636,-0.028230360474413636
21,0.01084421641791045,0.00833888592750532
22,-0.04076659115138593,-0.03036588819296375
23,-0.004787446695095945,-0.004357675906183363
24,-0.018269839418976537,-0.01935551039445629
25,0.011817030916844353,0.013026385927505334
26,-0.011864922041577818,-0.010768423507462682
27,0.030065631663113015,0.0373309235074627
28,-0.02890624999999998,-0.021266158049040487
29,0.036443896588486145,0.021023787313432827
30,-0.017311184035181226,-0.013737673240938164
31,0.05246535181236673,0.052969249733475485
32,0.024244153118336886,0.026800289845415784
33,0.07602445362473347,0.07194496268656717
34,-0.019400486407249472,-0.006785964152452029
35,0.04871735074626865,0.056807202825159914
36,-0.07687066897654585,-0.05748600746268656
37,-0.017654750799573567,-0.008750333155650318
38,-0.09908840285181236,-0.09426764059168441
